V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
3.340116304,2.914243905,3.303219182,3.230328713,4.746509992,4.434151577,3.995121644,4.458372543,3.989661381,4.858887551,4.865812059,5.15971796,5.602496772,5.551008186,4.915799075,16.02091454
3.30332528,2.839288069,3.372697079,3.127810108,4.72097959,4.501092606,4.003547592,4.325781307,4.028607073,4.871873478,5.059140946,5.323447267,5.285498583,5.733817231,4.926625446,15.62462365
3.580531275,2.948401559,3.353640564,3.241040712,4.80760255,4.590124357,4.140083124,4.350125296,4.027752612,4.765558113,5.198316525,5.047221155,5.436662891,5.821664151,4.752335465,15.64069758
3.50475822,2.984331297,3.678947212,3.189923784,4.927148615,4.572332769,4.140780006,4.329766296,3.996079517,4.761891025,5.052203386,5.210885376,5.492693994,5.532906637,4.781828696,15.4245948
3.353928119,2.798197384,3.485902039,3.351993407,4.980772937,4.541962041,4.044596233,4.418222743,3.827956163,4.781401939,5.064050371,5.199714609,5.358832459,5.777360518,4.906409555,15.23033746
3.320881455,2.905366145,3.635299821,3.314464855,4.782032524,4.486131582,4.055646523,4.418958469,4.042327116,4.857012118,5.007035792,5.24405737,5.516842691,5.670158205,4.98080647,16.53447626
3.219133252,3.155684474,3.428601696,3.254050861,4.866759142,4.508054433,3.988572248,4.457980606,3.873629368,4.826483304,5.017541214,5.08213024,5.431315253,5.723451453,5.009698349,15.66757748
3.346287224,3.029139234,3.525266395,3.27677776,4.747826216,4.381640084,3.938327974,4.383761303,3.851802067,4.730114268,5.00824788,5.193078459,5.546202505,5.54781848,4.700958147,15.63964431
3.256883395,2.883142405,3.214755794,3.150232572,4.663493595,4.329009681,4.028759834,4.500972704,3.89659826,4.990012427,5.074468078,5.127850214,5.287780059,5.367217685,4.740017937,15.52174773
3.310181522,2.886167567,3.528886255,3.231683809,4.733899699,4.519880106,3.954857509,4.328628372,3.908595884,4.754761984,5.173682946,5.157152469,5.385283339,5.604819485,4.568521341,15.624798
3.523215497,2.910752476,3.60680225,3.326785156,4.867651892,4.332041587,3.878357413,4.135205111,3.955730248,4.876034132,4.882129996,5.133276406,5.398482152,5.563252398,4.727135712,15.83562432
3.175288589,2.84669005,3.435751787,3.257700077,4.635020532,4.329096258,3.86676881,4.201584545,3.799198552,4.867469887,4.894525253,5.191015743,5.31615725,5.705787199,4.899467929,15.94016677
3.240753959,2.947541068,3.469488321,3.273277123,4.479582556,4.24585815,3.847274536,4.30328611,3.834464825,4.806934234,5.11208719,5.052206205,5.3787881,5.700030892,5.119936239,15.87847128
