"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"55",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"56",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"57",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"58",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"59",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"60",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"61",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"62",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"63",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"64",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"65",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"66",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"67",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"68",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"69",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"70",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"71",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"72",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"73",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"74",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"75",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"76",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"77",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"78",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"79",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"80",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"81",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"82",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"83",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"84",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"85",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"86",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"87",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"88",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"89",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"90",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"91",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"92",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"93",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"94",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"95",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"96",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"97",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"98",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"99",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"100",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"101",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"102",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"103",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"104",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"105",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"106",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"107",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"108",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"109",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"110",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"111",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"112",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"113",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"114",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"115",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"116",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"117",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"118",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"119",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"120",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"121",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"122",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"123",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"124",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"125",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"126",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"127",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"128",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"129",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"130",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"131",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"132",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"133",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"134",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"135",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"136",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"137",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"138",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"139",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"140",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"141",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"142",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"143",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"144",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"145",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"146",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"147",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"148",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"149",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
